Graph, Nodes, Edges,Ratio, Hops, Time
A10,10,28,2.80,765,8.52E+17
A11,11,28,2.55,1192,8.52E+17
A12,12,34,2.83,2421,8.52E+17
A13,13,25,1.92,5212,8.47E+17
A14,14,40,2.86,1925,8.55E+17
A15,15,27,1.80,5764,8.55E+17
A16,16,51,3.19,3873,8.57E+17
A17,17,37,2.18,3414,8.54E+17
A18,18,31,1.72,5502,8.52E+17
A19,19,59,3.11,3178,8.59E+17
A20,20,36,1.80,12357,8.50E+17
A21,21,64,3.05,4013,8.61E+17
A22,22,43,1.95,12212,8.54E+17
A23,23,51,2.22,17836,8.55E+17
A24,24,57,2.38,9780,8.57E+17
A25,25,51,2.04,17785,8.66E+17
A26,26,48,1.85,18801,8.61E+17
A27,27,87,3.22,8860,8.64E+17
A28,28,68,2.43,17366,8.55E+17
A29,29,120,4.14,7771,8.59E+17
A30,30,63,2.10,26723,8.59E+17
A31,31,105,3.39,8011,8.59E+17
A32,32,77,2.41,21121,8.69E+17
A33,33,120,3.64,14785,8.61E+17
A34,34,100,2.94,28195,8.69E+17
A35,35,119,3.40,12113,8.59E+17
A36,36,81,2.25,16594,8.77E+17
A37,37,153,4.14,7884,8.71E+17
A38,38,111,2.92,26361,8.72E+17
A39,39,134,3.44,44389,8.76E+17
A40,40,179,4.48,6251,8.71E+17
A41,41,182,4.44,7740,8.71E+17
A42,42,174,4.14,7499,8.87E+17
A43,43,158,3.67,12335,8.79E+17
A44,44,137,3.11,28205,8.79E+17
A45,45,144,3.20,21291,8.82E+17
A46,46,207,4.50,8985,8.79E+17
A47,47,154,3.28,20737,8.77E+17
A48,48,174,3.63,16049,8.77E+17
A49,49,189,3.86,18745,8.81E+17
A50,50,159,3.18,44324,8.84E+17
