Nodes: ,38,
Edges: ,111,
Messages, Hops, Time,
5, 1788, 7.22724e+16, 
10, 2821, 7.22724e+16, 
15, 2903, 8.06762e+16, 
20, 2852, 9.07607e+16, 
25, 2803, 9.91645e+16, 
30, 3834, 1.02526e+17, 
35, 3433, 1.05887e+17, 
40, 3787, 1.19334e+17, 
45, 4664, 1.15972e+17, 
50, 3888, 1.22695e+17, 
55, 3754, 1.3446e+17, 
60, 4626, 1.37822e+17, 
65, 5196, 1.37822e+17, 
70, 5343, 1.52949e+17, 
75, 8113, 1.66395e+17, 
80, 6422, 1.71437e+17, 
85, 6184, 1.83202e+17, 
90, 7226, 1.88244e+17, 
95, 8340, 1.88244e+17, 
100, 6958, 1.98329e+17, 
105, 7236, 2.08414e+17, 
110, 8978, 2.16817e+17, 
115, 8382, 2.31944e+17, 
120, 8668, 2.36986e+17, 
125, 8565, 2.36986e+17, 
130, 9618, 2.52113e+17, 
135, 7704, 2.53794e+17, 
140, 8486, 2.70602e+17, 
145, 11195, 2.80686e+17, 
150, 9654, 2.80686e+17, 
